name,role,category,context
Lynda Obst,Actor,entertainment,"Halloween writer Debra Hill dies

Screenwriter and producer Debra Hill, best known for her work on the 70s horror classic Halloween, has died in Los Angeles aged 54.

Hill, who had been suffering from"
The Fisher,Actor,entertainment,"Halloween writer Debra Hill dies

Screenwriter and producer Debra Hill, best known for her work on the 70s horror classic Halloween, has died in Los Angeles aged 54.

Hill, who had been suffering from"
Adventures In,Actor,entertainment,"Halloween writer Debra Hill dies

Screenwriter and producer Debra Hill, best known for her work on the 70s horror classic Halloween, has died in Los Angeles aged 54.

Hill, who had been suffering from"
Stephen King,Actor,entertainment,"Halloween writer Debra Hill dies

Screenwriter and producer Debra Hill, best known for her work on the 70s horror classic Halloween, has died in Los Angeles aged 54.

Hill, who had been suffering from"
Twin Towers,Actor,entertainment,"Halloween writer Debra Hill dies

Screenwriter and producer Debra Hill, best known for her work on the 70s horror classic Halloween, has died in Los Angeles aged 54.

Hill, who had been suffering from"
Singers Jennifer,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Across The,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Puerto Rican,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Velvet Revolver,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
John Legend,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Mavis Staples,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Blind Boys,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Bonnie Raitt,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Billy Preston,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Lynyrd Skynyrd,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Dickie Betts,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Elvis Bishop,Musician,entertainment,"J-Lo and husband plan debut duet

Singers Jennifer Lopez and husband Marc Anthony, a Latin pop star, are to perform a duet at this month's Grammy Awards in Los Angeles.

Anthony became Lopez's third h"
Please Please,Musician,entertainment,"Beatles suits sell for $110,000

Four suits worn by the Beatles on their Please Please Me album cover have sold for $110,00 (£59,000) at a US auction.

But some of Elvis Presley's earliest recordings "
Erik Simon,Musician,entertainment,"Beatles suits sell for $110,000

Four suits worn by the Beatles on their Please Please Me album cover have sold for $110,00 (£59,000) at a US auction.

But some of Elvis Presley's earliest recordings "
Mr Nogar,Musician,entertainment,"Beatles suits sell for $110,000

Four suits worn by the Beatles on their Please Please Me album cover have sold for $110,00 (£59,000) at a US auction.

But some of Elvis Presley's earliest recordings "
Entertainment Weekly,Actor,entertainment,"Oscar host Rock to keep it clean

Oscar host Chris Rock said he will steer clear of bad language when he fronts the awards on 27 February.

The comedian, who recently got into trouble for poking fun a"
Mike Nichols,Actor,entertainment,"Oscar host Rock to keep it clean

Oscar host Chris Rock said he will steer clear of bad language when he fronts the awards on 27 February.

The comedian, who recently got into trouble for poking fun a"
Drew Barrymore,Actor,entertainment,"Oscar host Rock to keep it clean

Oscar host Chris Rock said he will steer clear of bad language when he fronts the awards on 27 February.

The comedian, who recently got into trouble for poking fun a"
Golden Rose,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Family Affairs,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
The Catherine,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Tate Show,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Sacha Baron,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
My Family,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Lenny Henry,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
In Pieces,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Agatha Christie,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Rolf On,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Trafalgar Square,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Saturday Night,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Pop Idol,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Faking It,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Shane Richie,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
Alfie Moon,Musician,entertainment,"Little Britain vies for TV trophy

BBC hits Little Britain and Strictly Come Dancing are among numerous British shows nominated for the prestigious Golden Rose television awards.

Homegrown reality pr"
But Redford,Actor,entertainment,"Redford's vision of Sundance

Despite sporting a corduroy cap pulled low over his face plus a pair of dark glasses, Robert Redford cuts an unmistakable figure through the star-struck crowds at Sundanc"
World Dramatic,Actor,entertainment,"Redford's vision of Sundance

Despite sporting a corduroy cap pulled low over his face plus a pair of dark glasses, Robert Redford cuts an unmistakable figure through the star-struck crowds at Sundanc"
While Redford,Actor,entertainment,"Redford's vision of Sundance

Despite sporting a corduroy cap pulled low over his face plus a pair of dark glasses, Robert Redford cuts an unmistakable figure through the star-struck crowds at Sundanc"
African America,Actor,entertainment,"Redford's vision of Sundance

Despite sporting a corduroy cap pulled low over his face plus a pair of dark glasses, Robert Redford cuts an unmistakable figure through the star-struck crowds at Sundanc"
National Gallery,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Blackpool Pleasure,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Charles Saumarez,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Mr Saumarez,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Trafalgar Square,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
El Greco,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Russian Landscape,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
From Urbino,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Leading Visitor,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Tate Modern,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Natural History,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Buckingham Palace,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Windsor Castle,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Madame Tussauds,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Alton Towers,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Robin Broke,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Western Europe,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
North America,Unknown,entertainment,"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which hous"
Blackground Records,Musician,entertainment,"Aaliyah claim dismissed by court

Late R&B star Aaliyah's record company has failed in an attempt to sue the video producer who booked the ill-fated flight on which she died in 2001.

A New York appea"
Frank Penski,Musician,entertainment,"Aaliyah claim dismissed by court

Late R&B star Aaliyah's record company has failed in an attempt to sue the video producer who booked the ill-fated flight on which she died in 2001.

A New York appea"
More Than,Musician,entertainment,"Aaliyah claim dismissed by court

Late R&B star Aaliyah's record company has failed in an attempt to sue the video producer who booked the ill-fated flight on which she died in 2001.

A New York appea"
Actor Colin,Actor,entertainment,"Farrell due to make US TV debut

Actor Colin Farrell is to make his debut on US television in medical sitcom Scrubs, according to Hollywood newspaper Daily Variety.

The film star, who recently played"
Daily Variety,Actor,entertainment,"Farrell due to make US TV debut

Actor Colin Farrell is to make his debut on US television in medical sitcom Scrubs, according to Hollywood newspaper Daily Variety.

The film star, who recently played"
Minority Report,Actor,entertainment,"Farrell due to make US TV debut

Actor Colin Farrell is to make his debut on US television in medical sitcom Scrubs, according to Hollywood newspaper Daily Variety.

The film star, who recently played"
Phone Booth,Actor,entertainment,"Farrell due to make US TV debut

Actor Colin Farrell is to make his debut on US television in medical sitcom Scrubs, according to Hollywood newspaper Daily Variety.

The film star, who recently played"
Miami Vice,Actor,entertainment,"Farrell due to make US TV debut

Actor Colin Farrell is to make his debut on US television in medical sitcom Scrubs, according to Hollywood newspaper Daily Variety.

The film star, who recently played"
Heather Graham,Actor,entertainment,"Farrell due to make US TV debut

Actor Colin Farrell is to make his debut on US television in medical sitcom Scrubs, according to Hollywood newspaper Daily Variety.

The film star, who recently played"
Howard Stern,Unknown,entertainment,"Stern dropped from radio stations

Controversial DJ Howard Stern has been dropped from four US radio stations because he keeps promoting his move to a network broadcasting on satellite.

Cidatel Broad"
Cidatel Broadcasting,Unknown,entertainment,"Stern dropped from radio stations

Controversial DJ Howard Stern has been dropped from four US radio stations because he keeps promoting his move to a network broadcasting on satellite.

Cidatel Broad"
Clear Channel,Unknown,entertainment,"Stern dropped from radio stations

Controversial DJ Howard Stern has been dropped from four US radio stations because he keeps promoting his move to a network broadcasting on satellite.

Cidatel Broad"
Federal Communications,Unknown,entertainment,"Stern dropped from radio stations

Controversial DJ Howard Stern has been dropped from four US radio stations because he keeps promoting his move to a network broadcasting on satellite.

Cidatel Broad"
But Stern,Unknown,entertainment,"Stern dropped from radio stations

Controversial DJ Howard Stern has been dropped from four US radio stations because he keeps promoting his move to a network broadcasting on satellite.

Cidatel Broad"
Bill Conti,Musician,entertainment,"Music man to the Oscars

Bill Conti's job of musical director of the Oscars show is not for the faint-hearted since conducting the orchestra is the ultimate plate-spinning assignment.

This year marks"
Julia Roberts,Musician,entertainment,"Music man to the Oscars

Bill Conti's job of musical director of the Oscars show is not for the faint-hearted since conducting the orchestra is the ultimate plate-spinning assignment.

This year marks"
The Right,Musician,entertainment,"Music man to the Oscars

Bill Conti's job of musical director of the Oscars show is not for the faint-hearted since conducting the orchestra is the ultimate plate-spinning assignment.

This year marks"
Gonna Fly,Musician,entertainment,"Music man to the Oscars

Bill Conti's job of musical director of the Oscars show is not for the faint-hearted since conducting the orchestra is the ultimate plate-spinning assignment.

This year marks"
For Your,Musician,entertainment,"Music man to the Oscars

Bill Conti's job of musical director of the Oscars show is not for the faint-hearted since conducting the orchestra is the ultimate plate-spinning assignment.

This year marks"
Eyes Only,Musician,entertainment,"Music man to the Oscars

Bill Conti's job of musical director of the Oscars show is not for the faint-hearted since conducting the orchestra is the ultimate plate-spinning assignment.

This year marks"
Producer Kevin,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
British Tolkien,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Ed Mirvish,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Wales Theatre,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
The Tolkien,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Mr Wallace,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Canadian Actors,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Bollywood Dreams,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Matthew Warchus,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Middle Earth,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
New Zealander,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Peter Jackson,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
The Return,Musician,entertainment,"No UK premiere for Rings musical

The producers behind the Lord of the Rings musical have abandoned plans to premiere the show in London because no suitable theatre was available.

The £11.5m show wil"
Music Awards,Musician,entertainment,"Blue beat U2 to top France honour

Irish band U2 have been honoured at France's biggest music awards, but were beaten to a prize by boy band Blue.

U2 received a special achievement prize at the NRJ M"
This Love,Musician,entertainment,"Blue beat U2 to top France honour

Irish band U2 have been honoured at France's biggest music awards, but were beaten to a prize by boy band Blue.

U2 received a special achievement prize at the NRJ M"
Naomi Campbell,Musician,entertainment,"Blue beat U2 to top France honour

Irish band U2 have been honoured at France's biggest music awards, but were beaten to a prize by boy band Blue.

U2 received a special achievement prize at the NRJ M"
Singer Jenifer,Musician,entertainment,"Blue beat U2 to top France honour

Irish band U2 have been honoured at France's biggest music awards, but were beaten to a prize by boy band Blue.

U2 received a special achievement prize at the NRJ M"
Roch Voisine,Musician,entertainment,"Blue beat U2 to top France honour

Irish band U2 have been honoured at France's biggest music awards, but were beaten to a prize by boy band Blue.

U2 received a special achievement prize at the NRJ M"
Jimi Hendrix,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
Ray Rae,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
James Marshall,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
Hendrix Foundation,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
Al Hendrix,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
Mr Goldman,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
John Franklin,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
Now Mr,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
Janie Hendrix,Unknown,entertainment,"Row threatens Hendrix museum plan

Proposals to open a museum dedicated to Jimi Hendrix are flailing because of a row over the home of his late father.

The run-down house in Seattle has already been "
Director Southan,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Andy Stephens,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Anselmo Feleppa,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Andrew Ridgeley,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Mariah Carey,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Noel Gallagher,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Geri Halliwell,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Man To,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Joseph Fiennes,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Golden Bear,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
The Life,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Bill Murray,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Liam Neeson,Musician,entertainment,"Singer's film to show at festival

A documentary which takes a candid look at the life of chart-topping singer George Michael will be shown at this year's Berlin Film Festival.

A Different Story will"
Passion Oscar,Actor,entertainment,"No ads for Passion Oscar campaign

Producer Mel Gibson will not be using paid advertisements to promote The Passion of the Christ to voters in next year's Academy Awards.

Gibson and his Icon Producti"
Producer Mel,Actor,entertainment,"No ads for Passion Oscar campaign

Producer Mel Gibson will not be using paid advertisements to promote The Passion of the Christ to voters in next year's Academy Awards.

Gibson and his Icon Producti"
Icon Productions,Actor,entertainment,"No ads for Passion Oscar campaign

Producer Mel Gibson will not be using paid advertisements to promote The Passion of the Christ to voters in next year's Academy Awards.

Gibson and his Icon Producti"
Bruce Davey,Actor,entertainment,"No ads for Passion Oscar campaign

Producer Mel Gibson will not be using paid advertisements to promote The Passion of the Christ to voters in next year's Academy Awards.

Gibson and his Icon Producti"
Jesus Christ,Actor,entertainment,"No ads for Passion Oscar campaign

Producer Mel Gibson will not be using paid advertisements to promote The Passion of the Christ to voters in next year's Academy Awards.

Gibson and his Icon Producti"
Frank Pierson,Actor,entertainment,"No ads for Passion Oscar campaign

Producer Mel Gibson will not be using paid advertisements to promote The Passion of the Christ to voters in next year's Academy Awards.

Gibson and his Icon Producti"
Production Diary,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
Keira Knightly,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
Ray Winstone,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
David Attenborough,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
Simon Schama,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
British Isles,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
Alan Titchmarsh,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
Ground Force,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
But Titchmarsh,Actor,entertainment,"DVD review: I, Robot

Only one man recognises that robots are a threat to humanity - but that's fine because it only takes one man to save the day in the thriller I, Robot.

Will Smith co-stars alongs"
Guild Awards,Musician,entertainment,"Foxx and Swank take actors awards

Jamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.

Foxx's portrayal o"
The Screen,Musician,entertainment,"Foxx and Swank take actors awards

Jamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.

Foxx's portrayal o"
Actors Guild,Musician,entertainment,"Foxx and Swank take actors awards

Jamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.

Foxx's portrayal o"
Both Foxx,Musician,entertainment,"Foxx and Swank take actors awards

Jamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.

Foxx's portrayal o"
Being Julia,Musician,entertainment,"Foxx and Swank take actors awards

Jamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.

Foxx's portrayal o"
Motion Picture,Musician,entertainment,"Foxx and Swank take actors awards

Jamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.

Foxx's portrayal o"
Kenard Gibbs,Musician,entertainment,"Vibe awards back despite violence

The US Vibe awards will be held again next year despite a stabbing which happened during the ceremony.

Vibe magazine president Kenard Gibbs said the attack earlier "
Santa Monica,Musician,entertainment,"Vibe awards back despite violence

The US Vibe awards will be held again next year despite a stabbing which happened during the ceremony.

Vibe magazine president Kenard Gibbs said the attack earlier "
Rapper Young,Musician,entertainment,"Vibe awards back despite violence

The US Vibe awards will be held again next year despite a stabbing which happened during the ceremony.

Vibe magazine president Kenard Gibbs said the attack earlier "
David Darnell,Musician,entertainment,"Vibe awards back despite violence

The US Vibe awards will be held again next year despite a stabbing which happened during the ceremony.

Vibe magazine president Kenard Gibbs said the attack earlier "
Jimmy James,Musician,entertainment,"Vibe awards back despite violence

The US Vibe awards will be held again next year despite a stabbing which happened during the ceremony.

Vibe magazine president Kenard Gibbs said the attack earlier "
Mr Johnson,Musician,entertainment,"Vibe awards back despite violence

The US Vibe awards will be held again next year despite a stabbing which happened during the ceremony.

Vibe magazine president Kenard Gibbs said the attack earlier "
Other Scottish,Musician,entertainment,"Belle named 'best Scottish band'

Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.

The group beat Travis and Idlewild into second and third p"
Bay City,Musician,entertainment,"Belle named 'best Scottish band'

Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.

The group beat Travis and Idlewild into second and third p"
Mary Chain,Musician,entertainment,"Belle named 'best Scottish band'

Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.

The group beat Travis and Idlewild into second and third p"
The List,Musician,entertainment,"Belle named 'best Scottish band'

Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.

The group beat Travis and Idlewild into second and third p"
Mark Robertson,Musician,entertainment,"Belle named 'best Scottish band'

Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.

The group beat Travis and Idlewild into second and third p"
Radio Scotland,Musician,entertainment,"Belle named 'best Scottish band'

Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.

The group beat Travis and Idlewild into second and third p"
Vic Galloway,Musician,entertainment,"Belle named 'best Scottish band'

Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.

The group beat Travis and Idlewild into second and third p"
